-----------------------------------
Time profiling for the matrix inverse function:
Forward elimination: 0.44s (64.71%)
Backward elimination: 0.24s (35.29%)
Inverse function total: 0.68s (1)
-----------------------------------
Total time for the direct method: 15.38s
Result x is: Matrix [1000][1]:
	[ ,0]	
[621, ]	-0.0002088 	
[622, ]	0.0009475 	
[623, ]	0.00143 	
[624, ]	0.0005952 	
[625, ]	-0.000116 	
[626, ]	0.0003304 	
[627, ]	-0.000132 	
[628, ]	-0.0001166 	
[629, ]	0.001336 	
[630, ]	-0.0002947 	
[631, ]	0.000483 	
[632, ]	0.0008958 	
[633, ]	0.001031 	
[634, ]	0.0002106 	
[635, ]	-0.0001764 	
[636, ]	-0.0004054 	
[637, ]	0.0007638 	
[638, ]	-0.0003339 	
[639, ]	-7.004e-05 	
[640, ]	-0.0001927 	
[641, ]	0.0005519 	
[642, ]	0.0005717 	
[643, ]	0.0009891 	
[644, ]	-0.0002038 	
[645, ]	0.001048 	
[646, ]	9.122e-05 	
[647, ]	0.0003939 	
[648, ]	5.954e-05 	
[649, ]	0.001517 	
[650, ]	0.000447 	
[651, ]	0.0007618 	
[652, ]	0.000577 	
[653, ]	0.0005484 	
[654, ]	0.0003528 	
[655, ]	0.0001129 	
[656, ]	-0.0001921 	
[657, ]	0.0007476 	
[658, ]	0.0001611 	
[659, ]	-0.0004087 	
[660, ]	0.0001 	
[661, ]	0.0009836 	
[662, ]	0.001495 	
[663, ]	0.001183 	
[664, ]	0.0006459 	
[665, ]	-0.0002719 	
[666, ]	0.0009553 	
[667, ]	-0.0002801 	
[668, ]	0.0002633 	
[669, ]	0.001359 	
[670, ]	-0.0001336 	
[671, ]	0.0003652 	
[672, ]	-0.000423 	
[673, ]	0.0009259 	
[674, ]	0.001411 	
[675, ]	-0.0003773 	
[676, ]	-0.0004469 	
[677, ]	0.001505 	
[678, ]	-0.0004515 	
[679, ]	0.000365 	
[680, ]	-3.373e-05 	
[681, ]	0.000108 	
[682, ]	0.0002501 	
[683, ]	0.001562 	
[684, ]	0.0009832 	
[685, ]	-0.0003723 	
[686, ]	0.001316 	
[687, ]	0.001207 	
[688, ]	0.0008079 	
[689, ]	-0.0002475 	
[690, ]	0.0001233 	
[691, ]	0.001229 	
[692, ]	0.001024 	
[693, ]	0.0003347 	
